year,movie,tomatoes,imdb,meta,weekend,Oscars
1995,Toy Story,100,8.3,92,29.14,Not Applicable
1998,A Bug's Life,92,7.2,77,33.26,Not Applicable
1999,Toy Story 2,100,7.9,88,57.39,Not Applicable
2001,"Monsters, Inc.",96,8.1,78,62.58,No Oscar Win
2003,Finding Nemo,99,8.2,90,70.25,Oscar Win
2004,The Incredibles,97,8,90,70.47,Oscar Win
2006,Cars,74,7.2,73,60.12,No Oscar Win
2007,Ratatouille,96,8,96,47,Oscar Win
2008,WALL-E,96,8.4,94,63.1,Oscar Win
2009,Up,98,8.3,88,68.11,Oscar Win
2010,Toy Story 3,99,8.4,92,110.31,Oscar Win
2011,Cars 2,39,6.3,57,109,No Oscar Win
2012,Brave,78,7.2,69,66.3,Oscar Win
2013,Monsters University,78,7.4,65,82.43,No Oscar Win
2015,Inside Out,98,8.8,93,90.4,Not Applicable
